,Predictions
2020-02-03,1008.4914000000001
2020-02-04,259.1624793650793
2020-02-05,117.23417431457425
2020-02-06,1883.7971142857145
2020-02-07,914.4120857142856
2020-02-08,1037.6292095238098
2020-02-09,176.1273730158731
2020-02-10,84.99800476190477
2020-02-11,1210.4248999999998
2020-02-12,2121.3358380952386
2020-02-13,1131.112223809524
2020-02-14,1685.684864285714
2020-02-15,399.30306190476205
2020-02-16,618.4494857142855
2020-02-17,36.888019047619046
2020-02-18,2070.706683333334
2020-02-19,623.2458000000001
2020-02-20,1583.1342666666671
2020-02-21,246.9361547619046
2020-02-22,1213.1617047619052
2020-02-23,2149.8764095238093
2020-02-24,1954.6713412698414
2020-02-25,1158.4089285714283
2020-02-26,2016.3907285714286
2020-02-27,1837.8472999999997
2020-02-28,781.206033333333
2020-02-29,2006.4095857142859
2020-03-01,1670.2655285714288
2020-03-02,1247.2816666666665
2020-03-03,1403.9184309523812
2020-03-04,191.5710666666667
2020-03-05,402.6051999999999
2020-03-06,373.70490476190474
2020-03-07,1220.292702380952
2020-03-08,2192.0805666666665
2020-03-09,1202.4796666666664
2020-03-10,1082.3595333333333
2020-03-11,667.1871309523808
2020-03-12,1918.4079238095235
2020-03-13,1123.0875476190479
2020-03-14,1825.977990476191
2020-03-15,527.3986190476189
2020-03-16,96.9164857142857
2020-03-17,1050.4011
2020-03-18,275.3439666666667
2020-03-19,1276.3576547619048
2020-03-20,848.7824222222225
2020-03-21,476.3387365079365
2020-03-22,1848.7572952380954
2020-03-23,1663.5047499999996
2020-03-24,1265.3627166666665
2020-03-25,1754.0060555555551
2020-03-26,516.0092285714285
2020-03-27,1075.3331238095236
2020-03-28,1728.1970849206355
2020-03-29,1327.106457142857
2020-03-30,484.83912958152956
2020-03-31,1341.0486666666666
2020-04-01,6.503776190476189
2020-04-02,581.1496428571428
2020-04-03,1225.2956333333334
2020-04-04,465.3585111111112
2020-04-05,1567.2300904761903
